ID,Year,Name
13130.0,2012.0,Detective Conan: Prelude from the Past
13128.0,2013.0,Winning Post 7 2013
13098.0,2012.0,Ben 10 Galactic Racing
13094.0,2014.0,Super Heroine Chronicle
13083.0,2015.0,Steins;Gate 0
13077.0,2015.0,To Heart 2: Dungeon Travelers
13075.0,2012.0,Bakemonogatari Portable
13048.0,2014.0,Enemy Front
13027.0,2015.0,Luminous Arc Infinity
13015.0,2015.0,Earth Defense Force 4.1: The Shadow of New Despair
13006.0,2015.0,Stranger of Sword City
12993.0,2012.0,Koi to Senkyo to Chocolate Portable
12962.0,2015.0,Omega Labyrinth
12951.0,2012.0,Persona 2: Eternal Punishment
12950.0,2015.0,Arcania: Gothic 4
12949.0,2012.0,Choujikuu Yousai Macross: Do You Remember Love
12942.0,2014.0,Winning Post 8
12941.0,2012.0,Minna no Ennichi
12935.0,2015.0,Chaos;Child
12920.0,2014.0,Nobunaga's Ambition: Sphere of Influence
12919.0,2013.0,Zyuden Sentai Kyoryuger: Game de Gaburincho!!
12918.0,2015.0,New Prince of Tennis: Go to the Top
12916.0,2013.0,Pretty Cure All Stars Everyone Gather ? Let's Dance!
12889.0,2015.0,Goosebumps: The Game
12861.0,2015.0,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate
12859.0,2015.0,Saki: Zenkoku-hen
12855.0,2015.0,Miracle Girls Festival
12832.0,2015.0,NHL Legacy
12824.0,2013.0,Kyoukai Senjou no Horizon Portable
12807.0,2014.0,Nobunaga no Yabou: Souzou
12802.0,2015.0,Handball 16
12784.0,2015.0,MX vs. ATV Supercross Encore
12767.0,2012.0,The Lost Chronicles of Zerzura
12758.0,2013.0,Gintama no Sugoroku
12756.0,2012.0,Fate/Stay Night [R̩alta Nua]
12749.0,2012.0,Girls RPG: Cinderellife
12746.0,2013.0,Doki-Doki Universe
12744.0,2012.0,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi
12731.0,2015.0,Nights of Azure
12713.0,2014.0,Chaos Rings III
12695.0,2013.0,Ride to Hell
12691.0,2015.0,Romance of the Three Kingdoms 13
12681.0,2015.0,Yomawari
12652.0,2012.0,Nendoroid Generation
12645.0,2012.0,Jewel Master: Cradle of Persia
12640.0,2015.0,Game of Thrones (Telltale)
12627.0,2012.0,Steins;Gate: Hiyoku Renri no Darling
12614.0,2014.0,Lord of Magna: Maiden Heaven
12612.0,2014.0,Mahouka Koukou no Rettousei: Out of Order
12610.0,2014.0,Magi: Aratanaru Sekai
12604.0,2013.0,Metal Max 4: Gekkou no Diva
12599.0,2015.0,Doraemon: Nobita no Uchuu Eiyuuki
12573.0,2013.0,DuckTales: Remastered
12562.0,2015.0,Genkai Tokki: Moero Crystal
12559.0,2012.0,JoJo's Bizarre Adventure: All Star Battle
12558.0,2012.0,Top Gun: Hard Lock
12541.0,2013.0,Toriko: Gourmet Battle!
12522.0,2012.0,Smile PreCure! Let's Go! Marchen World
12520.0,2014.0,The Legend of Heroes VII: The Trail of Blue
12495.0,2012.0,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen
12486.0,2014.0,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!
12476.0,2014.0,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End
12449.0,2015.0,Risen 3: Titan Lords
12439.0,2012.0,Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu
12433.0,2015.0,Barbie and Her Sisters Puppy Rescue
12428.0,2015.0,Devil's Third
12423.0,2014.0,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!
12413.0,2013.0,SpongeBob SquarePants: Plankton's Robotic Revenge
