id_number,publisher_name,genre,global_sales
12335,Microsoft Game Studios,Fighting,0.06
12328,Nordic Games,Action,0.22
12313,Ackkstudios,Action,0.06
12289,D3Publisher,Action,0.06
12282,Revolution Software,Adventure,0.07
12259,Idea Factory,Strategy,0.06
12250,Avanquest,Puzzle,0.06
12245,FuRyu,Misc,0.07
12237,Happinet,Adventure,0.07
12220,Namco Bandai Games,Strategy,0.07
12213,Sony Computer Entertainment,Racing,0.07
12207,Nippon Ichi Software,Role-Playing,0.07
12199,Idea Factory International,Role-Playing,0.07
12195,Compile Heart,Role-Playing,0.23
12169,Namco Bandai Games,Action,0.13
12166,FuRyu,Action,0.07
12160,Namco Bandai Games,Role-Playing,0.07
12147,Activision,Role-Playing,0.07
12117,Namco Bandai Games,Action,0.07
12110,Nordic Games,Action,1.42
12107,Little Orbit,Action,0.18
12105,Kalypso Media,Strategy,0.12
12084,Namco Bandai Games,Action,0.07
12078,Ubisoft,Action,0.12
12072,Nippon Columbia,Action,0.07
12065,Namco Bandai Games,Action,0.07
12061,Unknown,Action,0.07
12049,Ubisoft,Action,2.49
12030,Kalypso Media,Simulation,0.14
12026,Marvelous Entertainment,Misc,0.07
12024,FuRyu,Action,0.07
12022,Kadokawa Shoten,Role-Playing,0.32
12019,Activision,Puzzle,0.07
12000,Namco Bandai Games,Strategy,0.1
11980,Namco Bandai Games,Adventure,0.07
11962,Falcom Corporation,Role-Playing,0.23
11944,Namco Bandai Games,Adventure,0.07
11938,Namco Bandai Games,Role-Playing,0.07
11909,Namco Bandai Games,Action,0.07
11899,Namco Bandai Games,Misc,0.07
11898,Nippon Ichi Software,Role-Playing,0.13
11895,Capcom,Shooter,0.12
11879,Namco Bandai Games,Role-Playing,3.14
11873,Ubisoft,Sports,0.25
11860,Alchemist,Misc,0.07
11848,Sony Computer Entertainment,Action,0.07
11845,Aqua Plus,Adventure,0.18
11841,Ackkstudios,Sports,0.11
11840,Nippon Ichi Software,Role-Playing,0.07
11828,Mad Catz,Simulation,0.07
11815,Daedalic Entertainment,Adventure,0.07
11799,Konami Digital Entertainment,Adventure,0.07
11797,Sega,Role-Playing,0.07
11793,Namco Bandai Games,Fighting,0.07
11788,Namco Bandai Games,Role-Playing,0.25
11785,Kadokawa Shoten,Adventure,0.16
11781,Screenlife,Fighting,0.07
11775,Namco Bandai Games,Misc,0.07
11774,Success,Adventure,0.07
11765,505 Games,Misc,0.14
11759,Rocket Company,Role-Playing,0.07
11735,Tecmo Koei,Role-Playing,0.2
11731,Alchemist,Action,0.08
11713,Spike,Role-Playing,0.08
11703,Compile Heart,Role-Playing,0.08
11687,Ubisoft,Shooter,0.09
11684,Tecmo Koei,Action,0.14
11629,Capcom,Role-Playing,0.11
11622,Namco Bandai Games,Action,0.08
11606,Rocket Company,Role-Playing,0.08
11602,Unknown,Sports,0.11
11575,Deep Silver,Action,1.49
11559,PQube,Action,0.08
11554,Ubisoft,Action,0.22
11542,Sony Computer Entertainment,Action,0.08
11527,Namco Bandai Games,Action,0.08
11523,FuRyu,Action,0.08
11519,Nippon Columbia,Misc,0.08
11510,Acquire,Adventure,0.08
11500,Namco Bandai Games,Adventure,0.38
11484,Nippon Ichi Software,Role-Playing,0.28
11475,Broccoli,Action,0.08
11429,Takara Tomy,Misc,0.08
11409,Namco Bandai Games,Simulation,0.14
11407,Namco Bandai Games,Fighting,0.4
11387,Seventh Chord,Action,0.08
11386,Takara Tomy,Misc,0.08
11341,Koch Media,Simulation,0.08
11329,Namco Bandai Games,Adventure,0.08
11313,Tecmo Koei,Action,0.08
11285,Nordic Games,Racing,0.11
11267,Square Enix,Action,0.1
11254,Namco Bandai Games,Action,0.08
11246,Namco Bandai Games,Role-Playing,0.16
11238,Nintendo,Misc,0.09
11214,Ubisoft,Strategy,0.09
11205,Little Orbit,Action,0.17
11180,Deep Silver,Action,0.17
11173,Activision,Platform,0.17
11153,Namco Bandai Games,Role-Playing,0.09
11150,Capcom,Action,0.14
11135,Idea Factory International,Action,0.09
11131,Tecmo Koei,Strategy,0.11
11077,Tecmo Koei,Action,0.2
11068,Broccoli,Adventure,0.09
11066,Acquire,Role-Playing,0.09
11053,Nintendo,Role-Playing,1.02
11035,FuRyu,Misc,0.09
11008,505 Games,Fighting,0.3
10994,Nintendo,Action,0.09
10979,Namco Bandai Games,Action,0.16
10959,Capcom,Shooter,0.09
10925,Nintendo,Puzzle,0.09
10919,Namco Bandai Games,Action,0.09
10906,Capcom,Action,3.07
10903,Atlus,Role-Playing,0.09
10895,Broccoli,Adventure,0.09
10893,Ubisoft,Action,0.13
10892,Activision,Action,2.23
10866,Activision,Action,0.19
10865,Namco Bandai Games,Platform,0.31
10858,Namco Bandai Games,Action,0.09
10813,Namco Bandai Games,Sports,0.21
10810,Nippon Ichi Software,Role-Playing,0.23
10807,Disney Interactive Studios,Action,0.19
10788,Image Epoch,Role-Playing,0.1
10785,Gust,Adventure,0.1
10758,inXile Entertainment,Role-Playing,0.25
10728,Capcom,Fighting,0.1
10699,Type-Moon,Adventure,0.1
10688,Namco Bandai Games,Role-Playing,0.1
10675,D3Publisher,Action,0.1
10662,Tecmo Koei,Role-Playing,0.19
10660,Namco Bandai Games,Fighting,0.16
10635,Aqua Plus,Fighting,0.1
10599,Activision,Racing,0.18
10591,Namco Bandai Games,Action,0.16
10573,Namco Bandai Games,Role-Playing,0.1
10562,Tecmo Koei,Action,0.15
10545,Level 5,Role-Playing,0.1
10515,Ubisoft Annecy,Action,0.1
10499,Level 5,Role-Playing,0.33
10483,Atlus,Role-Playing,0.37
10476,Namco Bandai Games,Action,0.1
10475,Namco Bandai Games,Shooter,0.1
10450,Nintendo,Action,0.1
10443,Namco Bandai Games,Action,0.1
10436,Namco Bandai Games,Action,0.12
10435,Little Orbit,Action,0.45
10433,Spike,Action,0.1
10408,Ubisoft,Role-Playing,0.16
10407,Namco Bandai Games,Action,0.11
10396,Xseed Games,Action,0.25
10393,Arc System Works,Fighting,0.4
10390,Ubisoft Annecy,Action,1.15
10388,Namco Bandai Games,Role-Playing,0.11
10337,Warner Bros. Interactive Entertainment,Puzzle,0.21
10335,Konami Digital Entertainment,Action,0.21
10320,Nintendo,Puzzle,0.11
10299,Takara Tomy,Misc,0.11
10276,Namco Bandai Games,Action,0.11
10270,Sega,Role-Playing,0.11
10244,Unknown,Action,0.11
10214,D3Publisher,Misc,0.26
10154,Namco Bandai Games,Action,0.11
10140,Nippon Ichi Software,Role-Playing,0.19
10129,Ubisoft,Simulation,0.11
10125,Namco Bandai Games,Adventure,0.37
10114,Tecmo Koei,Action,0.27
10074,Nintendo,Action,0.11
10059,Sega,Puzzle,0.22
10055,Namco Bandai Games,Misc,0.11
10037,Nintendo,Sports,0.11
10000,Sega,Action,0.91
9991,Namco Bandai Games,Role-Playing,0.42
9974,From Software,Simulation,0.12
9973,Ubisoft,Misc,0.65
9969,Idea Factory International,Action,0.12
9958,Aksys Games,Role-Playing,0.18
9946,Idea Factory,Role-Playing,0.12
9938,Kadokawa Games,Misc,0.12
9920,Idea Factory International,Action,0.12
9918,Tru Blu Entertainment,Sports,0.19
9907,Nippon Ichi Software,Action,0.16
9894,Namco Bandai Games,Fighting,0.12
9891,Bohemia Interactive,Shooter,0.12
9887,Broccoli,Action,0.12
9885,Square Enix,Shooter,3.49
9869,Deep Silver,Role-Playing,0.2
9841,Marvelous Entertainment,Action,0.12
9773,Sega,Platform,0.12
9770,Namco Bandai Games,Action,0.12
9756,Bigben Interactive,Sports,0.28
9751,N/A,Strategy,0.12
9739,Namco Bandai Games,Role-Playing,0.36
9736,Namco Bandai Games,Misc,0.15
9729,Square Enix,Action,0.16
9685,Namco Bandai Games,Action,0.12
9666,Ubisoft,Action,0.14
9662,Namco Bandai Games,Role-Playing,0.12
9639,Nippon Ichi Software,Role-Playing,0.13
9634,Namco Bandai Games,Adventure,0.13
9631,Level 5,Strategy,0.13
