id_number,year_release,game_name
13707,2012,Shiren the Wanderer 4 - God's Eye and the Demon's Navel
13695,2012,Deadliest Warrior: Ancient Combat
13685,2012,Horses 3D
13655,2015,Gravity Falls: Legend of the Gnome Gemulets
13654,2013,Doki Doki! PreCure Narikiri Life!
13647,2012,Great Battle Full Blast
13634,2012,The Cube
13609,2013,Super Robot Taisen OG Infinite Battle
13600,2014,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta
13590,2013,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD
13567,2012,Mechanic Escape
13558,2012,Record of Agarest War: Marriage
13556,2015,Yowamushi Pedal
13546,2013,Painkiller: Hell & Damnation
13498,2013,Nobunaga's Ambition (3DS)
13486,2015,Exist Archive: The Other Side of the Sky
13477,2015,World Trigger: Borderless Mission
13475,2015,Atelier Escha & Logy: Alchemists of the Dusk Sky
13447,2014,Hakuouki SSL: Sweet School Life
13443,2013,LEGO Friends
13410,2014,Atelier Ayesha: The Alchemist of Dusk
13409,2014,Hero Bank 2
13404,2015,Tokyo Ghoul: Jail
13398,2012,Hakuouki: Bakumatsu Musou Roku
13393,2014,To Love-Ru Trouble Darkness: Battle Ecstasy
13375,2013,XBLAZE Code: Embryo
13363,2014,Shin Hayarigami
13356,2013,Fast & Furious: Showdown
13328,2013,Rain (2013)
13306,2013,Gaist Crusher
13287,2015,Saints Row: Gat out of Hell
13284,2012,Diabolik Lovers
13277,2013,Amnesia Crowd
13275,2013,Detective Conan: Marionette Symphony
13262,2015,Sword Art Online: Game Director's Edition
13228,2015,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land
13192,2012,QUIZ PARTY
13190,2012,G1 Grand Prix
13170,2013,Chousoku Henkei Gyrozetter: Albatross no Tsubasa
13159,2012,Nike+ Kinect Training
13157,2012,Guild 01
13133,2013,Atelier Rorona: Alchemist of Arland
13130,2012,Detective Conan: Prelude from the Past
13128,2013,Winning Post 7 2013
13098,2012,Ben 10 Galactic Racing
13094,2014,Super Heroine Chronicle
13083,2015,Steins;Gate 0
13077,2015,To Heart 2: Dungeon Travelers
13075,2012,Bakemonogatari Portable
13048,2014,Enemy Front
13027,2015,Luminous Arc Infinity
13015,2015,Earth Defense Force 4.1: The Shadow of New Despair
13006,2015,Stranger of Sword City
12993,2012,Koi to Senkyo to Chocolate Portable
12962,2015,Omega Labyrinth
12951,2012,Persona 2: Eternal Punishment
12950,2015,Arcania: Gothic 4
12949,2012,Choujikuu Yousai Macross: Do You Remember Love
12942,2014,Winning Post 8
12941,2012,Minna no Ennichi
12935,2015,Chaos;Child
12920,2014,Nobunaga's Ambition: Sphere of Influence
12919,2013,Zyuden Sentai Kyoryuger: Game de Gaburincho!!
12918,2015,New Prince of Tennis: Go to the Top
12916,2013,Pretty Cure All Stars Everyone Gather ? Let's Dance!
12889,2015,Goosebumps: The Game
12861,2015,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate
12859,2015,Saki: Zenkoku-hen
12855,2015,Miracle Girls Festival
12832,2015,NHL Legacy
12824,2013,Kyoukai Senjou no Horizon Portable
12807,2014,Nobunaga no Yabou: Souzou
12802,2015,Handball 16
12784,2015,MX vs. ATV Supercross Encore
12767,2012,The Lost Chronicles of Zerzura
12758,2013,Gintama no Sugoroku
12756,2012,Fate/Stay Night [R̩alta Nua]
12749,2012,Girls RPG: Cinderellife
12746,2013,Doki-Doki Universe
12744,2012,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi
12731,2015,Nights of Azure
12713,2014,Chaos Rings III
12695,2013,Ride to Hell
12691,2015,Romance of the Three Kingdoms 13
12681,2015,Yomawari
12652,2012,Nendoroid Generation
12645,2012,Jewel Master: Cradle of Persia
12640,2015,Game of Thrones (Telltale)
12627,2012,Steins;Gate: Hiyoku Renri no Darling
12614,2014,Lord of Magna: Maiden Heaven
12612,2014,Mahouka Koukou no Rettousei: Out of Order
12610,2014,Magi: Aratanaru Sekai
12604,2013,Metal Max 4: Gekkou no Diva
12599,2015,Doraemon: Nobita no Uchuu Eiyuuki
12573,2013,DuckTales: Remastered
12562,2015,Genkai Tokki: Moero Crystal
12559,2012,JoJo's Bizarre Adventure: All Star Battle
12558,2012,Top Gun: Hard Lock
12541,2013,Toriko: Gourmet Battle!
12522,2012,Smile PreCure! Let's Go! Marchen World
12520,2014,The Legend of Heroes VII: The Trail of Blue
12495,2012,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen
12486,2014,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!
12476,2014,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End
12449,2015,Risen 3: Titan Lords
12439,2012,Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu
12433,2015,Barbie and Her Sisters Puppy Rescue
12428,2015,Devil's Third
12423,2014,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!
12413,2013,SpongeBob SquarePants: Plankton's Robotic Revenge
12407,2014,A-Train: City Simulator
12400,2015,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!
12391,2012,Earth Defense Force 2017 Portable
12375,2015,Mario vs. Donkey Kong: Tipping Stars
12361,2014,Game Center CX: 3-Choume no Arino
12341,2014,Ratchet & Clank Collection
12337,2013,Steins;Gate: Senkei Kousoku no Phonogram
12335,2013,Killer Instinct (2013)
12328,2015,Legend of Kay
12313,2012,Dynasty Warriors Vs
12289,2014,Bullet Girls
12282,2015,Broken Sword 5: The Serpent's Curse
12259,2013,Genkai Tokki Monster Monpiece
12250,2012,Jewel Link Chronicles: Mountains of Madness
12245,2014,Cardfight!! Vanguard: Lock On Victory!!
12237,2014,12-Sai. Honto no Kimochi
12220,2014,Gundam Try Age SP
12213,2012,MotorStorm RC
12207,2013,The Guided Fate Paradox
12199,2015,Fairy Fencer F: Advent Dark Force
12195,2014,Hyperdimension Neptunia Victory
12169,2014,Penguins of Madagascar
12166,2015,Future Card Buddy Fight: Yuujou no Bakunetsu Fight
12160,2012,Heroes Phantasia
12147,2014,Transformer: Rise of the Dark Spark (3DS)
12117,2015,Lost Heroes 2
12110,2012,Alan Wake
12107,2015,Monster High: New Ghoul in School
12105,2015,Grand Ages: Medieval
12084,2014,Godzilla (2014)
12078,2015,Toy Soldiers: War Chest
12072,2014,Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!
12065,2012,Tank! Tank! Tank!
12061,2012,Fairy Tail: Zelef Kakusei
12049,2015,Assassin's Creed: Rogue
12030,2012,Port Royale 3
12026,2015,IA/VT Colorful
12024,2013,Doraemon: Nobita to Himitsu Dougu Hakubutsukan
12022,2015,The Legend of Heroes: Trails in the Sky First Chapter
12019,2014,Cut the Rope
12000,2013,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice
11980,2014,Haikyuu!! Tsunage! Itadaki no Keshiki!!
11962,2012,The Legend of Heroes VII: The Trail of Zero
11944,2012,I Don't Have Many Friends Portable
11938,2013,Magi: The Labyrinth of Beginning
11909,2012,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi
11899,2013,J Legend Retsuden
11898,2015,Grand Kingdom
11895,2012,E.X. Troopers
11879,2012,Dark Souls
11873,2015,Rugby World Cup 2015
11860,2013,Model * Oshare Audition: Dream Girl
11848,2013,Invizimals: The Alliance
11845,2015,Utawarerumono: Itsuwari no Kamen
11841,2012,Winning Post 7 2012
11840,2013,Mugen Souls Z
11828,2012,Damage Inc.: Pacific Squadron WWII
11815,2013,Goodbye Deponia
11799,2012,Tokimeki Memorial Girl's Side Premium: 3rd Story
11797,2014,Hero Bank
11793,2013,Saint Seiya: Brave Soldiers
11788,2012,Summon Night 4
11785,2013,PhotoKano
11781,2015,Kenka Banchou 6: Soul & Blood
11775,2015,Aikatsu! My No.1 Stage!
11774,2013,Touch Detective: Nameko Shigeru
11765,2012,Zumba Fitness Core
11759,2014,Medabots 8
11735,2015,Yoru no Nai Kuni
11731,2012,Nicola Kanshuu: Model Oshare * Audition Platina
11713,2012,Conception: Please Give Birth to My Child!
11703,2014,Genkai Totsuki Moero Chronicle
11687,2012,Brothers in Arms: Furious 4
11684,2014,Samurai Warriors Chronicles 3
11629,2015,Dragon's Dogma Online
11622,2012,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima
11606,2013,Medabots Dual: Kabuto / Kuwagata
11602,2014,The Golf Club
11575,2013,Dead Island: Riptide
11559,2015,Valkyrie Drive: Bhikkhuni
11554,2015,Just Dance: Disney Party 2
11542,2015,Looney Tunes: Galactic Sports
11527,2013,Gekijouban Madoka Magicka: The Battle Pentagram
11523,2012,Doraemon: Nobita and the Island of Miracles
11519,2013,Kobitodzukan: Kobito no Fushigi - Jikken Set
11510,2012,Akiba's Trip Plus
11500,2013,AKB1/149: Love Election
11484,2015,The Witch and the Hundred Knight
11475,2015,Uta no Prince-Sama: All Star After Secret
11429,2013,Pretty Rhythm Rainbow Live: Kira Kira My * Design
11409,2012,I Am In The Movie
11407,2013,One Piece: Romance Dawn - Bouken no Yoake
